species	Phylum	Class	Order	Family	Genus
Gluconobacter oxydans H24	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
uncultured Pleomorphomonas sp.	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas
Halomonas xianhensis	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Paenibacillus alvei DSM 29	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Paenibacillus durus	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Paenibacillus macerans	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Scopulibacillus darangshiensis	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus
Paenibacillus validus NBRC 15382	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Bradyrhizobium oligotrophicum S58	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Caldanaerobius polysaccharolyticus DSM 13641	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobius
Xanthomonas perforans 91-118	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
Sanguibacter soli	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter
Ulvibacter antarcticus	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
Lactococcus sp.	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Halolactibacillus alkaliphilus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halolactibacillus
Knoellia aerolata DSM 18566	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia
Geobacter sp. M18	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
Geobacter sp. M21	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
Phycicoccus dokdonensis	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus
candidate division TM7 genomosp. GTL1	Candidatus Saccharibacteria				
Bradyrhizobium sp. Cp5.3	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Devosia geojensis	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia
Flavobacterium resistens	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Tanticharoenia sakaeratensis NBRC 103193	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Tanticharoenia
Bacillus plakortidis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Ammonifex thiophilus	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Ammonifex
Streptomyces sp. CNQ-509	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Brucella microti CCM 4915	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella
Chelatococcus daeguensis	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus
Sporolactobacillus vineae DSM 21990 = SL153	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus
Borrelia persica No12	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borrelia recurrentis A1	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Maribacter forsetii DSM 18668	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter
Mycolicibacterium insubricum	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium
Gryllotalpicola ginsengisoli DSM 22003	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Gryllotalpicola
Rickettsia endosymbiont of Ixodes scapularis	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia
Mycobacterium tilburgii	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
Psychromonas aquimarina ATCC BAA-1526	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas
Psychromonas ossibalaenae ATCC BAA-1528	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas
Rhodoplanes piscinae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes
Reyranella massiliensis 521	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Reyranella	
Pseudonocardia sp. AL041005-10	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
Rhodobacter johrii	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
Pandoraea thiooxydans	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
Dyella thiooxydans	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella
Nitrosomonas communis	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
Nitrosomonas cryotolerans ATCC 49181	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
Nitrosomonas halophila	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
Nitrosomonas ureae	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
Chryseobacterium jejuense	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Chryseobacterium soli	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
uncultured Lachnospira sp.	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
Vibrio celticus	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Adlercreutzia equolifaciens DSM 19450	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
Nostoc sphaeroides	Cyanobacteria	Nostocales	Nostocaceae	Nostoc	
Eudoraea adriatica DSM 19308	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Eudoraea
Rhodobacter maris	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
